"""Tiny bundled fallback so OUI lookups work offline before `landiscovery oui-update`."""
prefix,vendor
008092,Silex Technology
30AEA4,Espressif
240D5B,Espressif
0CF5A4,Cisco
001E58,WistronNeweb
08863B,Belkin
EC1A59,Belkin
94103E,Belkin
54271E,Belkin
D8A25E,Apple
A8667F,Apple
DCA904,Apple
ACBC32,Apple
6CC26B,Murata Manufacturing
BC926B,Apple
74F61C,Apple
80EA96,Apple
00C0CA,ALFA NETWORK
0025BC,Apple
FC253F,Apple
386077,Lenovo
3417EB,DELL
B083FE,Dell
F8B156,Dell
802BF9,Dell
F8DBD9,Dell
643150,Dell
00112F,ASRock
001D60,ASUSTek
6CFDB9,Realtek
74D02B,ASUSTek
1062E5,Liteon
A85E45,ASUSTek
70D923,Texas Instruments
40A36B,Apple
C8334B,Apple
BCC810,Apple
9C207B,Apple
38C986,Apple
74E5F9,Intel
8C1645,Intel
3C7C3F,Intel
D850E6,GIGA-BYTE
E0D55E,GIGA-BYTE
1C1B0D,GIGA-BYTE
50E549,GIGA-BYTE
B42E99,GIGA-BYTE
6805CA,Intel
54EE75,Wistron InfoComm
0023E9,F5 Networks
000CDB,Ubiquiti Networks
CC9EA2,Liteon Technology
EC383F,Apple
2C1F23,Hewlett-Packard
9457A5,Hon Hai (Foxconn)
70886B,Huawei
281878,Huawei
40CBA8,Huawei
50D2F5,Huawei
B499BA,Hewlett Packard
0017AB,Nintendo
A4C0E1,Nintendo
98B6E9,Nintendo
B88AEC,Nintendo
0019FD,Nintendo
58BD0F,Nintendo
04030D,Nintendo
0DB055,Nintendo
84F3EB,Espressif
DC4F22,Espressif
9C9C1F,Espressif
98F4AB,Espressif
1839EE,Sony
704D7B,Sony Interactive Entertainment
00041F,Sony Interactive Entertainment
0019C5,Sony
70269D,Sony
44D4E0,Sony
D04F7E,Sony Interactive Entertainment
DCFB02,Sony
AC9B0A,Sony
D8D43C,Sony
FCF152,Sony
7CED8D,Microsoft
0017FA,Microsoft
0050F2,Microsoft
9CAA1B,Microsoft
60453E,Microsoft
A0BDCD,Kyocera Industrial
003192,Murata Manufacturing
58FB84,Texas Instruments
B0B448,Texas Instruments
2C549188,Microsoft  
CC2DB7,Microsoft
60A44C,ASUSTek
70B3D5,IEEE Registration Authority (small assignments)
6CECA1,Texas Instruments
B470E5,Tuya Smart Inc.
DCF505,Tuya Smart Inc.
50029190,Espressif  
EC624C,Espressif
98F4AB,Espressif
4C796E,Sonoff (ITEAD)
600194,Espressif
840D8E,Espressif
C44F33,Espressif
3C71BF,Espressif
B4E62D,Espressif
80F3EF,Espressif
AC0BFB,Espressif
